Source,Target,Path,Steps
solar radiation,utci - universal thermal climate index,solar radiation -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
street width,nature based solution,street width -> canyon aspect ratio -> wind speed -> utci - universal thermal climate index -> nature based solution,4
street width,nature based solution,street width -> canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature -> nature based solution,4
street width,pet - psychological equivalent temperature,street width -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,4
street width,utci - universal thermal climate index,street width -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
surface absorption,nature based solution,surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,4
surface absorption,nature based solution,surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,4
surface emissivity,available fresh water per capita,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,4
surface emissivity,nature based solution,surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,4
surface emissivity,nature based solution,surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,4
surface material,infiltration rate,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate,4
surface material,nature based solution,surface material -> surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature -> nature based solution,4
surface material,nature based solution,surface material -> surface emissivity -> air temperature -> utci - universal thermal climate index -> nature based solution,4
surface material,nature based solution,surface material -> surface emissivity -> air temperature -> pet - psychological equivalent temperature -> nature based solution,4
surface material,nature based solution,surface material -> surface absorption -> air temperature -> utci - universal thermal climate index -> nature based solution,4
surface material,nature based solution,surface material -> surface absorption -> air temperature -> pet - psychological equivalent temperature -> nature based solution,4
surface material,pet - psychological equivalent temperature,surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,4
surface material,pet - psychological equivalent temperature,surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,4
surface material,utci - universal thermal climate index,surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
surface material,utci - universal thermal climate index,surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
total extraction,unitary opex,total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,4
total population,area affected by drought,total population -> consumption per capita -> total water demand -> total extraction -> area affected by drought,4
total population,collection ratio,total population -> population density -> coverage of water supply (area) -> number of users -> collection ratio,4
total population,energy consumption per year,total population -> consumption per capita -> total water demand -> total extraction -> energy consumption per year,4
total population,operational meters,total population -> population density -> coverage of water supply (area) -> number of users -> operational meters,4
total population,service time,total population -> consumption per capita -> total water demand -> supply security -> service time,4
total population,total pump installed capacity,total population -> consumption per capita -> total water demand -> total extraction -> total pump installed capacity,4
total population,total water production,total population -> consumption per capita -> total water demand -> total extraction -> total water production,4
total pump installed capacity,opex recovery,total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,4
total water demand,energy consumption per year,total water demand -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,4
total water demand,opex recovery,total water demand -> total extraction -> total water production -> unitary opex -> opex recovery,4
total water demand,opex recovery,total water demand -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,4
total water demand,service time,total water demand -> total extraction -> total water production -> supply security -> service time,4
urbanization,anthropogenic heat,urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat,4
urbanization,collection ratio,urbanization -> population density -> coverage of water supply (area) -> number of users -> collection ratio,4
urbanization,collection ratio,urbanization -> city area -> coverage of water supply (area) -> number of users -> collection ratio,4
urbanization,house price index (hpi),urbanization -> land cover change -> park/green quality index (pgqi) -> property listing price -> house price index (hpi),4
urbanization,housing affordability stress,urbanization -> housing demand -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,4
urbanization,housing affordability stress,urbanization -> housing demand -> property listing price -> ltv- loan to value ratio -> housing affordability stress,4
urbanization,housing supply,urbanization -> housing demand -> planning approvals -> new housing units completed -> housing supply,4
urbanization,infiltration rate,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate,4
urbanization,land benchmark price (zone),urbanization -> housing demand -> planning approvals -> property location -> land benchmark price (zone),4
urbanization,land cover change,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change,4
urbanization,ltv- loan to value ratio,urbanization -> land cover change -> park/green quality index (pgqi) -> property listing price -> ltv- loan to value ratio,4
urbanization,number of users,urbanization -> city area -> population density -> coverage of water supply (area) -> number of users,4
urbanization,operational meters,urbanization -> population density -> coverage of water supply (area) -> number of users -> operational meters,4
urbanization,operational meters,urbanization -> city area -> coverage of water supply (area) -> number of users -> operational meters,4
urbanization,opex recovery,urbanization -> city area -> total network length -> unitary opex -> opex recovery,4
urbanization,pet - psychological equivalent temperature,urbanization -> street width -> canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature,4
urbanization,pet - psychological equivalent temperature,urbanization -> building height -> canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature,4
urbanization,price-to-income ratio (pir),urbanization -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir),4
urbanization,price-to-rent ratio (ptr),urbanization -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-rent ratio (ptr),4
urbanization,property listing price,urbanization -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price,4
urbanization,spatial accessibility (straightness),urbanization -> housing demand -> planning approvals -> property location -> spatial accessibility (straightness),4
urbanization,surface absorption,urbanization -> land cover change -> vegetation coverage -> surface material -> surface absorption,4
urbanization,surface absorption,urbanization -> land cover change -> built up surface coverage -> surface material -> surface absorption,4
urbanization,surface emissivity,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity,4
urbanization,surface emissivity,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity,4
urbanization,svf - skyview factor,urbanization -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor,4
urbanization,svf - skyview factor,urbanization -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor,4
urbanization,tmrt - mean radiant temperature,urbanization -> street width -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature,4
urbanization,tmrt - mean radiant temperature,urbanization -> building height -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature,4
urbanization,total network length,urbanization -> housing demand -> planning approvals -> new housing units completed -> total network length,4
urbanization,utci - universal thermal climate index,urbanization -> street width -> canyon aspect ratio -> wind speed -> utci - universal thermal climate index,4
urbanization,utci - universal thermal climate index,urbanization -> building height -> canyon aspect ratio -> wind speed -> utci - universal thermal climate index,4
urbanization,vapor pressure,urbanization -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure,4
user acceptance of water,metered residential water,user acceptance of water -> population with access to drinking water -> number of users -> operational meters -> metered residential water,4
user acceptance of water,opex recovery,user acceptance of water -> population with access to drinking water -> number of users -> collection ratio -> opex recovery,4
vegetation canopy,nature based solution,vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,4
vegetation canopy,nature based solution,vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,4
vegetation coverage,nature based solution,vegetation coverage -> relative humidity -> vapor pressure -> utci - universal thermal climate index -> nature based solution,4
vegetation coverage,nature based solution,vegetation coverage -> relative humidity -> vapor pressure -> pet - psychological equivalent temperature -> nature based solution,4
vegetation coverage,pet - psychological equivalent temperature,vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,4
vegetation coverage,pet - psychological equivalent temperature,vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,4
vegetation coverage,pet - psychological equivalent temperature,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature,4
vegetation coverage,pet - psychological equivalent temperature,vegetation coverage -> surface material -> surface emissivity -> air temperature -> pet - psychological equivalent temperature,4
vegetation coverage,pet - psychological equivalent temperature,vegetation coverage -> surface material -> surface absorption -> air temperature -> pet - psychological equivalent temperature,4
vegetation coverage,precipitation,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation,4
vegetation coverage,tmrt - mean radiant temperature,vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature,4
vegetation coverage,tmrt - mean radiant temperature,vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature,4
vegetation coverage,utci - universal thermal climate index,vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
vegetation coverage,utci - universal thermal climate index,vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index,4
vegetation coverage,utci - universal thermal climate index,vegetation coverage -> surface material -> surface emissivity -> air temperature -> utci - universal thermal climate index,4
vegetation coverage,utci - universal thermal climate index,vegetation coverage -> surface material -> surface absorption -> air temperature -> utci - universal thermal climate index,4
vegetation height,nature based solution,vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,4
vegetation height,nature based solution,vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,4
water tariff affordability,housing affordability stress,water tariff affordability -> household expenses -> household income -> price-to-income ratio (pir) -> housing affordability stress,4
water tariff affordability,housing affordability stress,water tariff affordability -> household expenses -> household income -> ltv- loan to value ratio -> housing affordability stress,4
water treatment efficiency,coverage of water supply,water treatment efficiency -> overall water quality -> user acceptance of water -> population with access to drinking water -> coverage of water supply,4
water treatment efficiency,number of users,water treatment efficiency -> overall water quality -> user acceptance of water -> population with access to drinking water -> number of users,4
yearly samples meeting standards,coverage of water supply,yearly samples meeting standards -> overall water quality -> user acceptance of water -> population with access to drinking water -> coverage of water supply,4
yearly samples meeting standards,number of users,yearly samples meeting standards -> overall water quality -> user acceptance of water -> population with access to drinking water -> number of users,4
yearly samples taken,population with access to drinking water,yearly samples taken -> yearly samples meeting standards -> overall water quality -> user acceptance of water -> population with access to drinking water,4
air temperature,nature based solution,air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,3
air temperature,nature based solution,air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,3
annual rent level,ltv- loan to value ratio,annual rent level -> household expenses -> household income -> ltv- loan to value ratio,3
annual rent level,price-to-income ratio (pir),annual rent level -> household expenses -> household income -> price-to-income ratio (pir),3
annual rent level,price-to-rent ratio (ptr),annual rent level -> household expenses -> household income -> price-to-rent ratio (ptr),3
anthropogenic heat,nature based solution,anthropogenic heat -> air temperature -> utci - universal thermal climate index -> nature based solution,3
anthropogenic heat,nature based solution,anthropogenic heat -> air temperature -> pet - psychological equivalent temperature -> nature based solution,3
anthropogenic heat,pet - psychological equivalent temperature,anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,3
anthropogenic heat,utci - universal thermal climate index,anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,3
available fresh water per capita,pumping efficiency,available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,3
available fresh water per capita,supply security,available fresh water per capita -> total extraction -> total water production -> supply security,3
available fresh water per capita,supply security,available fresh water per capita -> imported water level -> total water production -> supply security,3
available fresh water per capita,unitary opex,available fresh water per capita -> total extraction -> total water production -> unitary opex,3
available fresh water per capita,unitary opex,available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,3
available fresh water per capita,unitary opex,available fresh water per capita -> imported water level -> total water production -> unitary opex,3
average income,household income,average income -> water tariff affordability -> household expenses -> household income,3
average income,housing affordability stress,average income -> household income -> price-to-income ratio (pir) -> housing affordability stress,3
average income,housing affordability stress,average income -> household income -> ltv- loan to value ratio -> housing affordability stress,3
average income,opex recovery,average income -> water tariff affordability -> collection ratio -> opex recovery,3
building height,pet - psychological equivalent temperature,building height -> canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature,3
building height,tmrt - mean radiant temperature,building height -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature,3
building height,utci - universal thermal climate index,building height -> canyon aspect ratio -> wind speed -> utci - universal thermal climate index,3
built up surface coverage,air temperature,built up surface coverage -> surface material -> surface emissivity -> air temperature,3
built up surface coverage,air temperature,built up surface coverage -> surface material -> surface absorption -> air temperature,3
built up surface coverage,lst - land surface temperature,built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature,3
canyon aspect ratio,nature based solution,canyon aspect ratio -> wind speed -> utci - universal thermal climate index -> nature based solution,3
canyon aspect ratio,nature based solution,canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature -> nature based solution,3
canyon aspect ratio,pet - psychological equivalent temperature,canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,3
canyon aspect ratio,utci - universal thermal climate index,canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index,3
central bank policy,housing affordability stress,central bank policy -> average fixed mortgage rate -> ltv- loan to value ratio -> housing affordability stress,3
city area,collection ratio,city area -> coverage of water supply (area) -> number of users -> collection ratio,3
city area,number of users,city area -> population density -> coverage of water supply (area) -> number of users,3
city area,operational meters,city area -> coverage of water supply (area) -> number of users -> operational meters,3
city area,opex recovery,city area -> total network length -> unitary opex -> opex recovery,3
climate change,available fresh water per capita,climate change -> precipitation -> infiltration rate -> available fresh water per capita,3
climate change,nature based solution,climate change -> air temperature -> utci - universal thermal climate index -> nature based solution,3
climate change,nature based solution,climate change -> air temperature -> pet - psychological equivalent temperature -> nature based solution,3
climate change,pet - psychological equivalent temperature,climate change -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,3
climate change,utci - universal thermal climate index,climate change -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,3
consumption per capita,area affected by drought,consumption per capita -> total water demand -> total extraction -> area affected by drought,3
consumption per capita,energy consumption per year,consumption per capita -> total water demand -> total extraction -> energy consumption per year,3
consumption per capita,service time,consumption per capita -> total water demand -> supply security -> service time,3
consumption per capita,total pump installed capacity,consumption per capita -> total water demand -> total extraction -> total pump installed capacity,3
consumption per capita,total water production,consumption per capita -> total water demand -> total extraction -> total water production,3
coverage of water supply (area),metered residential water,coverage of water supply (area) -> number of users -> operational meters -> metered residential water,3
coverage of water supply (area),opex recovery,coverage of water supply (area) -> number of users -> collection ratio -> opex recovery,3
credit supply conditions,housing affordability stress,credit supply conditions -> average fixed mortgage rate -> ltv- loan to value ratio -> housing affordability stress,3
gross surface (gfa),house price index (hpi),gross surface (gfa) -> property inner charactersitics -> property listing price -> house price index (hpi),3
gross surface (gfa),ltv- loan to value ratio,gross surface (gfa) -> property inner charactersitics -> property listing price -> ltv- loan to value ratio,3
gross surface (gfa),price-to-income ratio (pir),gross surface (gfa) -> property inner charactersitics -> property listing price -> price-to-income ratio (pir),3
gross surface (gfa),price-to-rent ratio (ptr),gross surface (gfa) -> property inner charactersitics -> property listing price -> price-to-rent ratio (ptr),3
household expenses,housing affordability stress,household expenses -> household income -> price-to-income ratio (pir) -> housing affordability stress,3
household expenses,housing affordability stress,household expenses -> household income -> ltv- loan to value ratio -> housing affordability stress,3
housing demand,anthropogenic heat,housing demand -> planning approvals -> new housing units completed -> anthropogenic heat,3
housing demand,housing affordability stress,housing demand -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,3
housing demand,housing affordability stress,housing demand -> property listing price -> ltv- loan to value ratio -> housing affordability stress,3
housing demand,housing supply,housing demand -> planning approvals -> new housing units completed -> housing supply,3
housing demand,land benchmark price (zone),housing demand -> planning approvals -> property location -> land benchmark price (zone),3
housing demand,land cover change,housing demand -> planning approvals -> new housing units completed -> land cover change,3
housing demand,spatial accessibility (straightness),housing demand -> planning approvals -> property location -> spatial accessibility (straightness),3
housing demand,total network length,housing demand -> planning approvals -> new housing units completed -> total network length,3
housing supply,housing affordability stress,housing supply -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,3
housing supply,housing affordability stress,housing supply -> property listing price -> ltv- loan to value ratio -> housing affordability stress,3
imported water level,opex recovery,imported water level -> total water production -> unitary opex -> opex recovery,3
imported water level,service time,imported water level -> total water production -> supply security -> service time,3
infiltration rate,area affected by drought,infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,3
infiltration rate,energy consumption per year,infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,3
infiltration rate,total pump installed capacity,infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,3
infiltration rate,total water production,infiltration rate -> available fresh water per capita -> total extraction -> total water production,3
infiltration rate,total water production,infiltration rate -> available fresh water per capita -> imported water level -> total water production,3
land benchmark price (zone),house price index (hpi),land benchmark price (zone) -> unitary listing price -> property listing price -> house price index (hpi),3
land benchmark price (zone),ltv- loan to value ratio,land benchmark price (zone) -> unitary listing price -> property listing price -> ltv- loan to value ratio,3
land benchmark price (zone),price-to-income ratio (pir),land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-income ratio (pir),3
land benchmark price (zone),price-to-rent ratio (ptr),land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-rent ratio (ptr),3
land cover change,house price index (hpi),land cover change -> park/green quality index (pgqi) -> property listing price -> house price index (hpi),3
land cover change,infiltration rate,land cover change -> soil material -> soil permeability -> infiltration rate,3
land cover change,ltv- loan to value ratio,land cover change -> park/green quality index (pgqi) -> property listing price -> ltv- loan to value ratio,3
land cover change,price-to-income ratio (pir),land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir),3
land cover change,price-to-rent ratio (ptr),land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-rent ratio (ptr),3
land cover change,property listing price,land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price,3
land cover change,surface absorption,land cover change -> vegetation coverage -> surface material -> surface absorption,3
land cover change,surface absorption,land cover change -> built up surface coverage -> surface material -> surface absorption,3
land cover change,surface emissivity,land cover change -> vegetation coverage -> surface material -> surface emissivity,3
land cover change,surface emissivity,land cover change -> built up surface coverage -> surface material -> surface emissivity,3
land cover change,svf - skyview factor,land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor,3
land cover change,svf - skyview factor,land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor,3
land cover change,vapor pressure,land cover change -> vegetation coverage -> relative humidity -> vapor pressure,3
living area (usable m²),house price index (hpi),living area (usable m²) -> unitary listing price -> property listing price -> house price index (hpi),3
living area (usable m²),house price index (hpi),living area (usable m²) -> property inner charactersitics -> property listing price -> house price index (hpi),3
living area (usable m²),ltv- loan to value ratio,living area (usable m²) -> unitary listing price -> property listing price -> ltv- loan to value ratio,3
living area (usable m²),ltv- loan to value ratio,living area (usable m²) -> property inner charactersitics -> property listing price -> ltv- loan to value ratio,3
living area (usable m²),price-to-income ratio (pir),living area (usable m²) -> unitary listing price -> property listing price -> price-to-income ratio (pir),3
living area (usable m²),price-to-income ratio (pir),living area (usable m²) -> property inner charactersitics -> property listing price -> price-to-income ratio (pir),3
living area (usable m²),price-to-rent ratio (ptr),living area (usable m²) -> unitary listing price -> property listing price -> price-to-rent ratio (ptr),3
living area (usable m²),price-to-rent ratio (ptr),living area (usable m²) -> property inner charactersitics -> property listing price -> price-to-rent ratio (ptr),3
lst - land surface temperature,available fresh water per capita,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,3
new housing units completed,house price index (hpi),new housing units completed -> housing supply -> property listing price -> house price index (hpi),3
new housing units completed,ltv- loan to value ratio,new housing units completed -> housing supply -> property listing price -> ltv- loan to value ratio,3
new housing units completed,opex recovery,new housing units completed -> total network length -> unitary opex -> opex recovery,3
new housing units completed,pet - psychological equivalent temperature,new housing units completed -> anthropogenic heat -> air temperature -> pet - psychological equivalent temperature,3
new housing units completed,price-to-income ratio (pir),new housing units completed -> housing supply -> property listing price -> price-to-income ratio (pir),3
new housing units completed,price-to-rent ratio (ptr),new housing units completed -> housing supply -> property listing price -> price-to-rent ratio (ptr),3
new housing units completed,property listing price,new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price,3
new housing units completed,relative humidity,new housing units completed -> land cover change -> vegetation coverage -> relative humidity,3
new housing units completed,soil permeability,new housing units completed -> land cover change -> soil material -> soil permeability,3
new housing units completed,spatial accessibility (straightness),new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness),3
new housing units completed,surface material,new housing units completed -> land cover change -> vegetation coverage -> surface material,3
new housing units completed,surface material,new housing units completed -> land cover change -> built up surface coverage -> surface material,3
new housing units completed,tmrt - mean radiant temperature,new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature,3
new housing units completed,utci - universal thermal climate index,new housing units completed -> anthropogenic heat -> air temperature -> utci - universal thermal climate index,3
new housing units completed,vegetation canopy,new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy,3
new housing units completed,vegetation height,new housing units completed -> land cover change -> vegetation coverage -> vegetation height,3
number of users,collection ratio,number of users -> operational meters -> metered residential water -> collection ratio,3
operational meters,opex recovery,operational meters -> metered residential water -> collection ratio -> opex recovery,3
overall water quality,coverage of water supply,overall water quality -> user acceptance of water -> population with access to drinking water -> coverage of water supply,3
overall water quality,number of users,overall water quality -> user acceptance of water -> population with access to drinking water -> number of users,3
park/green quality index (pgqi),house price index (hpi),park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> house price index (hpi),3
park/green quality index (pgqi),housing affordability stress,park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,3
park/green quality index (pgqi),housing affordability stress,park/green quality index (pgqi) -> property listing price -> ltv- loan to value ratio -> housing affordability stress,3
park/green quality index (pgqi),ltv- loan to value ratio,park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio,3
park/green quality index (pgqi),price-to-income ratio (pir),park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir),3
park/green quality index (pgqi),price-to-rent ratio (ptr),park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-rent ratio (ptr),3
planning approvals,air temperature,planning approvals -> new housing units completed -> anthropogenic heat -> air temperature,3
planning approvals,built up surface coverage,planning approvals -> new housing units completed -> land cover change -> built up surface coverage,3
planning approvals,park/green quality index (pgqi),planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi),3
planning approvals,property listing price,planning approvals -> property location -> spatial accessibility (straightness) -> property listing price,3
planning approvals,property listing price,planning approvals -> new housing units completed -> housing supply -> property listing price,3
planning approvals,soil material,planning approvals -> new housing units completed -> land cover change -> soil material,3
planning approvals,unitary listing price,planning approvals -> property location -> land benchmark price (zone) -> unitary listing price,3
planning approvals,unitary opex,planning approvals -> new housing units completed -> total network length -> unitary opex,3
planning approvals,vegetation coverage,planning approvals -> new housing units completed -> land cover change -> vegetation coverage,3
population density,collection ratio,population density -> coverage of water supply (area) -> number of users -> collection ratio,3
population density,operational meters,population density -> coverage of water supply (area) -> number of users -> operational meters,3
population growth rate,built up surface coverage,population growth rate -> urbanization -> land cover change -> built up surface coverage,3
population growth rate,canyon aspect ratio,population growth rate -> urbanization -> street width -> canyon aspect ratio,3
population growth rate,canyon aspect ratio,population growth rate -> urbanization -> building height -> canyon aspect ratio,3
population growth rate,coverage of water supply (area),population growth rate -> urbanization -> population density -> coverage of water supply (area),3
population growth rate,coverage of water supply (area),population growth rate -> urbanization -> city area -> coverage of water supply (area),3
population growth rate,coverage of water supply (area),population growth rate -> total population -> population density -> coverage of water supply (area),3
population growth rate,house price index (hpi),population growth rate -> urbanization -> housing demand -> house price index (hpi),3
population growth rate,park/green quality index (pgqi),population growth rate -> urbanization -> land cover change -> park/green quality index (pgqi),3
population growth rate,pet - psychological equivalent temperature,population growth rate -> anthropogenic heat -> air temperature -> pet - psychological equivalent temperature,3
population growth rate,planning approvals,population growth rate -> urbanization -> housing demand -> planning approvals,3
population growth rate,population density,population growth rate -> urbanization -> city area -> population density,3
population growth rate,property listing price,population growth rate -> urbanization -> housing demand -> property listing price,3
population growth rate,soil material,population growth rate -> urbanization -> land cover change -> soil material,3
population growth rate,tmrt - mean radiant temperature,population growth rate -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature,3
population growth rate,total network length,population growth rate -> urbanization -> city area -> total network length,3
population growth rate,total water demand,population growth rate -> total population -> consumption per capita -> total water demand,3
population growth rate,utci - universal thermal climate index,population growth rate -> anthropogenic heat -> air temperature -> utci - universal thermal climate index,3
population growth rate,vegetation coverage,population growth rate -> urbanization -> land cover change -> vegetation coverage,3
population with access to drinking water,metered residential water,population with access to drinking water -> number of users -> operational meters -> metered residential water,3
population with access to drinking water,opex recovery,population with access to drinking water -> number of users -> collection ratio -> opex recovery,3
precipitation,imported water level,precipitation -> infiltration rate -> available fresh water per capita -> imported water level,3
precipitation,total extraction,precipitation -> infiltration rate -> available fresh water per capita -> total extraction,3
property inner charactersitics,housing affordability stress,property inner charactersitics -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,3
property inner charactersitics,housing affordability stress,property inner charactersitics -> property listing price -> ltv- loan to value ratio -> housing affordability stress,3
property location,house price index (hpi),property location -> spatial accessibility (straightness) -> property listing price -> house price index (hpi),3
property location,ltv- loan to value ratio,property location -> spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio,3
property location,price-to-income ratio (pir),property location -> spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir),3
property location,price-to-rent ratio (ptr),property location -> spatial accessibility (straightness) -> property listing price -> price-to-rent ratio (ptr),3
property location,property listing price,property location -> land benchmark price (zone) -> unitary listing price -> property listing price,3
pump current usage,unitary opex,pump current usage -> pumping efficiency -> energy consumption per year -> unitary opex,3
pumping efficiency,opex recovery,pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,3
relative humidity,nature based solution,relative humidity -> vapor pressure -> utci - universal thermal climate index -> nature based solution,3
relative humidity,nature based solution,relative humidity -> vapor pressure -> pet - psychological equivalent temperature -> nature based solution,3
road network,house price index (hpi),road network -> spatial accessibility (straightness) -> property listing price -> house price index (hpi),3
road network,ltv- loan to value ratio,road network -> spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio,3
road network,price-to-income ratio (pir),road network -> spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir),3
road network,price-to-rent ratio (ptr),road network -> spatial accessibility (straightness) -> property listing price -> price-to-rent ratio (ptr),3
soil material,available fresh water per capita,soil material -> soil permeability -> infiltration rate -> available fresh water per capita,3
soil permeability,imported water level,soil permeability -> infiltration rate -> available fresh water per capita -> imported water level,3
soil permeability,total extraction,soil permeability -> infiltration rate -> available fresh water per capita -> total extraction,3
solar angle,nature based solution,solar angle -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,3
solar angle,nature based solution,solar angle -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,3
solar radiation,nature based solution,solar radiation -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,3
solar radiation,nature based solution,solar radiation -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,3
solar radiation,pet - psychological equivalent temperature,solar radiation -> surface absorption -> air temperature -> pet - psychological equivalent temperature,3
solar radiation,tmrt - mean radiant temperature,solar radiation -> surface absorption -> air temperature -> tmrt - mean radiant temperature,3
